from_address,to_address,amount_btc,flow_type
15mGM5Hkjic47WnRQ52F9vBfwnr5K1XSbk,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,4.0,INITIAL_TO_ACCUMULATOR
1GA1okexnLvcBkV5LYcZfgoBEqeQ3CLVY9,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1AvNZRChJGhJZaeBm3PF7fqKMEYLjxn6xn,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1PpnWJLPCMGgCwd5pSrxPWvrMrEjdqYFAU,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1JoYZMbUiGMoc6SFoWZYfsdYoHrnED4g38,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1DyBvTvSBLP1gc9YyqHJGXtazRiYXzsUK9,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1GUDFW3W3SS6G9u293ogobsVis5MXyAwAs,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1Mono6CxFWtABN9k6mM5H6Jb1vnu63je9y,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
16JfV4N6dnbQNpRGyAA152p6ZAZehQEe4Q,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1FW3FJRCK3gdzXkpmuz2PWZGxge4hseqjS,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1BHwiZVPiNiSy4mFRjxDC4w79vGqt93wVX,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
19y3mHB2KoEPHMnCP42ViqjSKqKpVZu7RK,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1BNr4zVhZGi9sZj8e7A6JJpwchLuEFckGc,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1HhRqDxYqGzL5r4BYapmi7fPac5npaqw52,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1gaktgn1wki8FJzwYtTXMaU7CmfHMWSPo,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
1DqH97bzNHJr9GgDMwrqdkMskKGXsPY6iU,1PrWtrfN1HnZwj1Up8iHzMfe5U9K4fuZtb,2.765957446808511,SOURCE_TO_ACCUMULATOR
